Stack009_c1.tif,0,6,788,503
Stack009_c1.tif,1,6,635,500
Stack009_c1.tif,2,8,442,739
Stack009_c1.tif,3,8,316,797
Stack009_c1.tif,4,5,573,371
Stack009_c1.tif,5,7,411,695
Stack009_c1.tif,6,7,973,565
Stack009_c1.tif,7,5,461,229
Stack009_c1.tif,8,6,483,967
Stack009_c1.tif,9,10,411,190
Stack009_c1.tif,10,11,463,143
Stack009_c1.tif,11,6,428,861
Stack009_c1.tif,12,6,275,787
Stack009_c1.tif,13,5,604,492
Stack009_c1.tif,14,5,815,56
Stack009_c1.tif,15,9,482,716
Stack009_c1.tif,16,6,449,186
Stack009_c1.tif,17,5,471,135
Stack009_c1.tif,18,9,438,218
Stack009_c1.tif,19,5,315,53
